transaction_id,customer_id,date,account_type,merchant,category,amount
TXN00004,CUST0001,2026-05-17,checking,Duke Energy,utilities,-132.28
TXN00005,CUST0001,2026-05-27,savings,Direct Deposit - Payroll,income,1704.06
TXN00003,CUST0001,2026-06-07,checking,Shell Gas,gas,-15.95
TXN00006,CUST0001,2026-06-07,savings,CVS Pharmacy,health,-185.53
TXN00001,CUST0001,2026-06-13,checking,Amazon,shopping,-160.6
TXN00002,CUST0001,2026-06-14,checking,CVS Pharmacy,health,-96.7
TXN00012,CUST0002,2026-05-22,checking,Home Depot,home,-40.74
TXN00010,CUST0002,2026-05-24,checking,Starbucks,dining,-241.63
TXN00009,CUST0002,2026-05-28,checking,Uber,transport,-15.88
TXN00007,CUST0002,2026-06-07,savings,Chipotle,dining,-146.03
TXN00008,CUST0002,2026-06-19,checking,Walmart,shopping,-112.8
TXN00013,CUST0002,2026-06-27,checking,CVS Pharmacy,health,-130.12
TXN00011,CUST0002,2026-06-30,checking,Direct Deposit - Payroll,income,1825.3
TXN00017,CUST0003,2026-05-22,checking,Starbucks,dining,-54.23
TXN00016,CUST0003,2026-05-24,checking,Delta Airlines,travel,-59.17
TXN00018,CUST0003,2026-06-15,checking,Duke Energy,utilities,-37.15
TXN00015,CUST0003,2026-06-24,checking,Kroger,groceries,-91.32
TXN00014,CUST0003,2026-06-29,checking,Target,shopping,-164.66
TXN00019,CUST0004,2026-05-19,checking,Target,shopping,-161.0
TXN00022,CUST0004,2026-05-28,checking,Uber,transport,-113.16
TXN00021,CUST0004,2026-06-08,checking,Kroger,groceries,-142.33
TXN00020,CUST0004,2026-06-30,checking,AT&T,utilities,-203.65
TXN00023,CUST0004,2026-06-30,checking,Home Depot,home,-44.61
TXN00024,CUST0005,2026-06-15,checking,Kroger,groceries,-103.87
TXN00026,CUST0005,2026-06-21,checking,Uber,transport,-235.47
TXN00025,CUST0005,2026-06-30,checking,Amazon,shopping,-195.6
TXN00033,CUST0006,2026-05-17,checking,Netflix,entertainment,-34.32
TXN00027,CUST0006,2026-05-20,checking,Netflix,entertainment,-162.1
TXN00031,CUST0006,2026-05-20,savings,Home Depot,home,-23.8
TXN00034,CUST0006,2026-05-21,checking,Duke Energy,utilities,-16.92
TXN00035,CUST0006,2026-05-28,checking,Delta Airlines,travel,-172.69
TXN00028,CUST0006,2026-05-29,checking,CVS Pharmacy,health,-154.84
TXN00029,CUST0006,2026-05-31,checking,Starbucks,dining,-157.99
TXN00030,CUST0006,2026-06-03,checking,Home Depot,home,-96.29
TXN00032,CUST0006,2026-06-14,checking,Target,shopping,-249.17
